0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:53:07 +0530] "GET /frontend/main2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:53:25 +0530] "GET /frontend/main2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:00 +0530] "GET /frontend/main2.html HTTP/1.1" 200 11803
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/la.jpg HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/ny.jpg HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/chicago.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/bandmember.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/newyork.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/paris.jpg HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/sanfran.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:54:01 +0530] "GET /w3images/map.jpg HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:55:34 +0530] "GET /frontend/main2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:55:34 +0530] "GET /w3images/ny.jpg HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:55:34 +0530] "GET /w3images/la.jpg HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:55:34 +0530] "GET /w3images/chicago.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:55:34 +0530] "GET /w3images/bandmember.jpg HTTP/1.1" 404 736
